,Season,Episode,EpisodeTitle,IMDBRating,TotalVotes,AirDate,Description,Viewership,GuestStars,Director,Writers,Number of Guest Stars
0,1,1,Pilot,7.4,7115,24 Mar 2005,"The premiere episode introduces the boss and staff of the Dunder-Mifflin Paper Company in Scranton, Pennsylvania in a documentary about the workplace.",11.2,,Ken Kwapis,Ricky Gervais |Stephen Merchant and Greg Daniels,1
1,1,2,Diversity Day,8.3,7008,16 Mar 2005,"Michael's off color remark puts a sensitivity trainer in the office for a presentation, which prompts Michael to create his own.",6.0,,Ken Kwapis,B. J. Novak,1
2,1,3,Health Care,7.7,5843,5 Apr 2005,"Michael leaves Dwight in charge of picking the new healthcare plan for the staff, with disastrous results ahead.",5.8,,Ken Whittingham,Paul Lieberstein,1
3,1,4,The Alliance,8.0,5657,12 Apr 2005,"Just for a laugh, Jim agrees to an alliance with Dwight regarding the downsizing rumors.",5.4,,Bryan Gordon,Michael Schur,1
4,1,5,Basketball,8.4,6281,19 Apr 2005,Michael and his staff challenge the warehouse workers to a basketball game with a bet looming over both parties.,5.0,,Greg Daniels,Greg Daniels,1
5,1,6,Hot Girl,7.7,5578,26 Apr 2005,Michael is just one of the many male staff who start vying for the attention of an attractive saleswoman in the office.,4.8,Amy Adams,Amy Heckerling,Mindy Kaling,1
6,2,1,The Dundies,8.7,6287,20 Sep 2005,"Very much unlike his staff, an overeager Michael can't wait for this year's annual Dundies awards.",9.0,,Greg Daniels,Mindy Kaling,1
7,2,2,Sexual Harassment,8.2,5387,27 Sep 2005,The office reviews its sexual harassment policy in light of explicit e-mails.,7.13,,Ken Kwapis,B. J. Novak,1
8,2,3,Office Olympics,8.3,5332,4 Oct 2005,"Ready to finalize his deal for a new condo, Michael is away with Dwight while Jim rallies the staff together for office games.",8.3,Nancy Carell,Paul Feig,Michael Schur,1
9,2,4,The Fire,8.3,5267,11 Oct 2005,A fire in the kitchen relegates the staff to the parking lot as help is on its way.,7.6,Amy Adams,Ken Kwapis,B. J. Novak,1
10,2,5,Halloween,8.1,4936,18 Oct 2005,"Michael is pressured by corporate to fire someone, which puts a damper on the office Halloween party.",8.0,,Paul Feig,Greg Daniels,1
11,2,6,The Fight,8.1,4944,1 Nov 2005,Jim rallies the staff together to witness a showdown between Michael and Dwight at Dwight's martial arts school.,7.9,,Ken Kwapis,Gene Stupnitsky | Lee Eisenberg,1
12,2,7,The Client,8.6,5210,8 Nov 2005,"With Michael and Jan Levinson-Gould away from the office to land a new client, the staff discovers an unproduced screenplay in Michael's office.",7.5,Tim Meadows,Greg Daniels,Paul Lieberstein,1
13,2,8,Performance Review,8.1,4701,15 Nov 2005,"Instead of talking to his employees about their work, Michael uses their annual review time to gather feedback on his ""relationship"" with Jan.",8.0,,Paul Feig,Larry Wilmore,1
14,2,9,E-Mail Surveillance,8.4,4836,22 Nov 2005,"Michael decides to set up e-mail surveillance for all company e-mail, and discovers that Jim has invited everyone over for a barbeque except him.",8.1,Ken Jeong,Paul Feig,Jennifer Celotta,1
15,2,10,Christmas Party,8.9,5364,6 Dec 2005,"Seeing the party is headed for disastrous boredom, Michael breaks corporate policy to buy alcohol for the staff.",9.7,,Charles McDougall,Michael Schur,1
16,2,11,Booze Cruise,8.6,5167,5 Jan 2006,"The Dunder Mifflin staff go on a mandatory ""booze cruise"" to hear Michael give a motivational talk.",8.7,Rob Riggle,Ken Kwapis,Greg Daniels,1
17,2,12,The Injury,9.1,6220,12 Jan 2006,"Michael's ""injury"" from a George Foreman Grill distracts the staff from Dwight, the one with the real injury.",10.3,,Bryan Gordon,Mindy Kaling,1
18,2,13,The Secret,8.2,4587,19 Jan 2006,"Jim fears the secret he told to Michael, in confidence, will be revealed to the staff.",8.7,,Dennie Gordon,Lee Eisenberg | Gene Stupnitsky,1
19,2,14,The Carpet,7.8,4532,26 Jan 2006,Michael's office becomes the victim of an odorous prank which subjects the office to his punishment.,8.6,,Victor Nelli Jr.,Paul Lieberstein,1
20,2,15,Boys and Girls,8.1,4500,2 Feb 2006,"Jan comes into the Scranton Branch to give all the female employees a group seminar on women in the workplace. Upset that he is not allowed in on the proceedings, Michael takes all the men of Dunder Mifflin down into the warehouse for some ""guy time"" with the warehouse workers. Pam is offered a chance to pursue her dreams of drawing and Roy confronts Jim about his feelings for Pam.",5.42,,See full summary,B. J. Novak,1
21,2,16,Valentine's Day,8.3,4520,9 Feb 2006,"When Michael visits Dunder Mifflin corporate headquarters in New York on Valentine's Day, he and Jan are both in for a surprise. Meanwhile, back in Scranton, the office staff celebrates Valentine's Day grade school style.",8.95,Conan O'Brien,Greg Daniels,Michael Schur,1
22,2,17,Dwight's Speech,8.4,4804,2 Mar 2006,Michael coaches pompous Dwight on the finer art of public speaking after being named as Salesman of the Year.,8.4,,Charles McDougall,Paul Lieberstein,1
23,2,18,Take Your Daughter to Work Day,8.3,4655,16 Mar 2006,"A routine office day is changed when children come to Dunder Mifflin for ""Take Your Daughter to Work Day."" Michael is surprised when he strikes up a friendship with the five-year old daughter of his sworn enemy, Toby. Pam is desperate to befriend her colleagues' offspring and a misunderstanding puts Ryan under Stanley's thumb.",8.8,,See full summary,Mindy Kaling,1
24,2,19,Michael's Birthday,8.1,4494,30 Mar 2006,"In celebration of his birthday, Michael makes a mandatory invite of the staff during the workday to go ice skating.",7.8,,Ken Whittingham,Gene Stupnitsky | Lee Eisenberg,1
25,2,20,Drug Testing,8.4,4591,27 Apr 2006,Dwight plays the role of Volunteer Sheriff after finding half a joint in the Dunder Mifflin parking lot leading to an investigation. Pam gives Jim a play challenge which he tries to complete.,7.8,,Greg Daniels,Jennifer Celotta,1
26,2,21,Conflict Resolution,8.7,4699,4 May 2006,"When Michael takes over conflict resolution duties from HR, chaos ensues at Dunder Mifflin.",7.4,,Charles McDougall,Greg Daniels,1
27,2,22,Casino Night,9.4,6789,11 May 2006,The Dunder Mifflin crew holds a casino party at the warehouse and Michael has two dates.,7.6,,Ken Kwapis,Steve Carell,1
